_about,average_price,house_price_index,percentage_annual_change,percentage_change,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2024-11,169319,113.3,10.5,1.2,2024-11,3,2024-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,420.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2024-12,169319,113.3,10.5,1.2,2024-12,3,2024-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,420.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2025-01,170049,113.8,9.8,0.4,2025-01,3,2025-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,447.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2025-02,170049,113.8,9.8,0.4,2025-02,3,2025-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,447.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2025-03,170049,113.8,9.8,0.4,2025-03,3,2025-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,447.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2025-04,171396,114.7,8.2,0.8,2025-04,3,2025-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,302.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2025-05,171396,114.7,8.2,0.8,2025-05,3,2025-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,302.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2025-06,171396,114.7,8.2,0.8,2025-06,3,2025-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,302.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2025-07,177609,118.9,6.2,3.6,2025-07,3,2025-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,386.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2025-08,177609,118.9,6.2,3.6,2025-08,3,2025-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,386.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2025-09,177609,118.9,6.2,3.6,2025-09,3,2025-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2025-10,177609,118.9,6.2,3.6,2025-10,3,2025-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,
